term	count	category	narrow
 substituion rates	1	similarity	similarity
 substitution rates	1	similarity	similarity
 tract lenght comparisons	1	similarity	similarity
blocks of synteny	1	similarity	similarity
dmin	1	similarity	similarity
fst	14	similarity	similarity
haplotype	1	similarity	similarity
haplotype based methods for a specific region of the genonme	1	similarity	similarity
hka test	1	similarity	similarity
rndmin	1	similarity	similarity
seqeuence similarity	1	similarity	similarity
sequence similairty	7	similarity	similarity
sequence similarity	167	similarity	similarity
sequencer similarity	1	similarity	similarity
sequnce similairty	1	similarity	similarity
  raxml	1	trees	trees
 and phylogeny aanalysis	1	trees	trees
 beast	2	trees	trees
 examl	1	trees	trees
 gene trees	10	trees	trees
 hyde	1	trees	trees
 iqtree	1	trees	trees
 mixmapper	1	trees	trees
 network	2	trees	trees
 networks	1	trees	trees
 nework analysis	1	trees	trees
 phylip	2	trees	trees
 phylogentic analyses	1	trees	trees
 phylogentic approacheds fd	1	trees	trees
 phylogentic approaches	34	trees	trees
 phylonet	3	trees	trees
 phyml	4	trees	trees
 physotr	1	trees	trees
 puap	9	trees	trees
 quibl	1	trees	trees
 raxml	11	trees	trees
 saguaro	2	trees	trees
 splistree	1	trees	trees
 splitstree	3	trees	trees
 tree	1	trees	trees
 treebest	1	trees	trees
 treemix	21	trees	trees
 trees	153	trees	trees
 twisst	4	trees	trees
ape	1	trees	trees
beast	1	trees	trees
bucky	1	trees	trees
gene trees	1	trees	trees
genotype networks	1	trees	trees
mega	2	trees	trees
mrbayes	1	trees	trees
phylip	3	trees	trees
phylogentic analyses	1	trees	trees
phylogentic appraoches	1	trees	trees
phylogentic approaches	11	trees	trees
phylonet	1	trees	trees
phyml	1	trees	trees
poptree2	1	trees	trees
puap	2	trees	trees
raxml	5	trees	trees
saguaro	2	trees	trees
splitstree	3	trees	trees
tree discordance	1	trees	trees
treemix	2	trees	trees
trees	88	trees	trees
twisst	1	trees	trees
 dapc	2	NA	NA
partitionfinder	1	NA	NA
popart	1	NA	NA
