species	taxid
Actinidia polygama	64480
Actinidia chinensis var. setosa	64481
Oryza barthii	65489
Lycalopex culpaeus	68736
Mimulus aurantiacus	68869
Gasterosteus aculeatus	69293
Helianthus argophyllus	73275
Helianthus bolanderi 	73278
Helianthus debilis	73282
Helianthus praecox	73306
Populus balsamifera	73824
Helianthus niveus subsp. niveus	74144
Helianthus niveus subsp. canescens	74145
Helianthus petiolaris subsp. fallax	74150
Populus euphratica	75702
Populus lasiocarpa	77070
Gadus macrocephalus	80720
Populus x canescens	80863
Capsella rubella 	81985
Capsella rubella	81985
Hemispingus frontalis	85537
Hemispingus verticalis	85540
Triticum durum. x. Triticum dicoccoides	85692
Anguilla megastoma	86963
Anguilla obscura	86964
Anguilla interioris	86967
Geospiza difficilis	87173
Rhinolophus sinicus 	89399
Conus coronatus	89441
Juglans cinerea	91214
Juglans mandshurica	91218
Pinaroloxias inornata	93070
Senecio vernalis	93496
Conus miliaris	97181
Quercus engelmannii	97696
Quercus lobata	97700
Conus abbreviatus	100123
Conus chaldaeus	101292
Heliconius timareta	101932
Heliconius timareta 	101932
Vitis amurensis	103351
Quercus dentata	103484
Phlox cuspidata	103527
Phlox drummondii	103529
Phlox roemeriana	103542
Chen canagica	107021
Heliconius nanna	113155
Phoenix canariensis	113250
Populus laurifolia	113624
Populus tremula	113636
Laccospadix australasicus	115487
Grallaria hypoleuca	117148
Grallaria squamigera	117164
Senecio aethnensis	121540
Senecio chrysanthemifolius	121541
Senecio gallicus	121545
Senecio glaucus	121546
Senecio leucanthemifolius	121548
Picea smithiana	123602
Drosophila santomea	129105
Linospadix monostachyos	131282
Anser brachyrhynchus	132585
Anser erythropus	132586
Anser fabalis	132587
Aphelocoma californica	142466
Solanum cheesmaniae	142759
Canis lupus baileyi 	143281
Howea belmoreana	145691
Prunus mira	151332
Prunus davidiana	151430
Salvethymus svetovidovi	152109
Catostomus texanus	154827
Pitohui dichrous	156166
Pitohui kirhocephalus	156167
Sus verrucosus	159856
Picea wilsonii	162304
Picea asperata	162306
Picea schrenkiana	162307
Anopheles parensis	162637
Phylloscopus griseolus	163864
Actinidia eriantha	165200
Actinidia lanceolata	165201
Actinidia latifolia	165711
Actinidia latifolia 	165711
Actinidia macrosperma	165712
Actinidia rufa	165716
Actinidia valvata	165719
Actinidia zhejiangensis	165720
Actinidia callosa var. henryi	165782
Actinidia callosa var. henryi  	165782
Actinidia cylindrica var. reticulata	165784
Actinidia callosa var. strigillosa	165785
Hemispingus xanthophthalmus	166073
Quercus cornelius-mulleri	167419
Quercus dumosa	167420
Quercus gambelii	168163
Quercus gambelii 	168163
Picea spinulosa	171229
Achimenes candida	171295
Achimenes cettoana	171296
Achimenes misera	171297
Heliconius hecalesia	171911
Heliconius melpomene rosina	171916
Populus szechuanica	179740
Populus wilsonii	179741
Jaltomata auriculata	180573
Corvus cornix	181096
Corvus cornix 	181096
Thripadectes flammulatus	183163
Dendrocincla fuliginosa 	183179
Neolamprologus gracilis	184147
Neolamprologus marunguensis	184149
Neolamprologus olivaceous	184150
Neolamprologus pulcher	184151
Branta leucopsis	184711
Branta bernicla	184712
Branta ruficollis	184715
Arctogadus glacialis	185735
Xiphophorus mayae	186743
Achimenes admirabilis	188992
Lynx pardinus	191816
Heliconius hortense	196493
Catostomus tahoensis	196750
Coccidioides posadasii	199306
Jaltomata sinuosa	205521
Quercus mongolica var. crispula	213178
Musa acuminata var. Zebrina	214685
Musa acuminata var. Malaccensis	214687
Pedicularis cyathophylla	216513
Pedicularis cyathophylloides	216514
Pedicularis superba	216542
Actinidia cylindrica var. cylindrica	222490
Actinidia cylindrica var. cylindrica    	222490
Actinidia fulvicoma var. fulvicoma	222496
Actinidia hubeiensis	222502
Actinidia lijiangensis	222504
Aquilegia formosa	223430
Achimenes grandiflora	223874
"Achimenes cettoana, Achimenes longiflora"	NA
Achimenes patens 	223876
"Achimenes candida,Achimenes grandiflora,Achimenes pedunculata, Achimenes patens "	NA
Achimenes erecta	223878
Achimenes antirrhina	223879
Achimenes pedunculata	223880
Juglans sigillata	224355
Picea orientalis	224734
Vitis piasezkii	228411
Salvelinus levanidovi	230553
Solanum corneliomulleri	230663
Salmo obtusirostris	237411
Certhidea fusca	240232
Populus yunnanensis	242124
Catostomus columbianus	244772
Catostomus platyrhynchus	244773
Aphelocoma wollweberi potosina	247973
Aphelocoma wollweberi	248078
Heliconius melpomene aglaope	248311
Heliconius melpomene amaryllis	248312
Conus judaeus	257330
Catostomus plebeius	259651
Dendrocincla tyrannina 	261817
Capsella grandiflora	264402
Populus davidiana	266767
Aphelocoma wollweberi arizonae	269254
Aphelocoma wollweberi couchii	269257
Aphelocoma wollweberi couchii 	269257
Aquilegia chrysantha	270621
Mimulus aridus	270951
Mimulus australis	270953
Mimulus calycinus	270954
Mimulus parviflorus	270955
diplacus grandiflorus	270956
Mimulus longiflorus	270957
Mimulus puniceus 	270958
Sus celebensis	273789
Cheirogaleus crossleyi 	291259
Aquilegia flabellata	291305
Howea forsteriana	292773
Linospadix albertisianus	292776
Linospadix palmerianus	292777
Populus fremontii	295326
Populus simonii	295327
Cyrtandra kauaiensis	301619
Cyrtandra longifolia	301623
Picea likiangensis var. linzhiensis III	308677
Picea likiangensis var. linzhiensis I	308677
Picea likiangensis var. linzhiensis II	308677
Picea likiangensis var. likiangensis I	308677
Picea likiangensis var. likiangensis III	308677
Picea likiangensis var. likiangensis II	308677
Picea likiangensis var. rubescens I	308677
Picea likiangensis var. rubescens II	308677
Picea likiangensis var. rubescens III	308677
Picea koraiensis	308680
Picea meyeri	308681
Picea retroflexa	308684
Picea brachytyla var.complanata II	308686
Picea brachytyla var.complanata III	308686
"Picea brachytyla var.complanata I,"	308686
Picea brachytyla var.complanata I	308686
"Picea likiangensis var. linzhiensis I,Picea crassifolia"	308688
Picea crassifolia	308688
Carex albolutescens	314397
Carex longii	314432
Carex scoparia	314463
Carex suberecta	314474
Carex vexans	314485
Solanum galapagense	315350
Sus cebifrons	315377
Magnaporthe oryzae 	318829
Pedicularis rex spp. rex	321410
Pedicularis rex spp. lipskyana	321410
Pedicularis rex spp. rex var. rockii	321410
Pedicularis thamnophila spp. thamnophila	326850
Pedicularis thamnophila spp. cupuliformes	326850
Prunus kansuensis	329890
Picea obovata	331118
Aquilegia pubescens	338617
Linospadix minor	342556
Corvus corone orientalis	344226
Corvus corone orientalis 	344226
Populus angustifolia	351344
Picea neoveitchii	369397
Branta hutchinsii	371860
Selasphorus sasin	371924
Ceratopteris cornuta	375903
Solanum arcanum	376710
Oenanthe pleschanka	391712
Oenanthe cypriaca	391713
Oenanthe hispanica melanoleuca	391723
Anopheles longipalpis	412009
Aquilegia oxysepala	432649
Catostomus discobolus	436679
Phoenix sylvestris	446127
Phoenix theophrasti	446128
Acridotheres javanicus	451385
Quercus douglasii	465759
Selasphorus calliope	472914
Porcula salvania	476284
Aphelocoma ultramarina colimae 	481744
Aphelocoma ultramarina ultramarina	481746
Aphelocoma wollweberi wollweberi	481747
Populus pruinosa	492479
Zimmerius chrysops	495159
Nephelomyias ochraceiventris	495174
Ochthoeca diadema	495219
Zimmerius viridiflavus	502662
Strauzia longipennis	503478
Carex furva	513294
Acridotheres melanopterus	513300
Ursus ingressus	518689
Ursus kudarensis	518692
Quercus macrocarpa	519047
Citrullus mucosospermus	519315
Catostomus latipinnis	522486
Montipora flabellata	530167
Heliconius melpomene nanna	544892
Buthraupis eximia	548503
Buthraupis aureodorsalis	548504
Iridosornis reinhardti	548509
Iridosornis rufivertex	548510
Aquilegia aurea	560537
Aquilegia sibirica	560549
"Cyrtandra grandiflora, Cyrtandra kaulantha, Cyrtandra hawaiensis 3, Cyrtandra calpidicarpa"	NA
"Cyrtandra. grandiflora, Cyrtandra kaulantha, Cyrtandra hawaiensis 3,  Cyrtandra calpidicarpa"	NA
Cyrtandra munroi 	573447
Anguilla luzonensis	573744
Persea americana var. drymifolia	580376
Solanum huaylasense	588598
Ochthoeca pulchella	649798
Rhipidura teysmanni	667195
Catostomus insignis	681757
Catostomus santaanae	681758
"Cyrtandra grayana, Cyrtandra macrocalyx"	NA
Homo sapiens ssp. denisova	741158
Cheirogaleus sibreei	752538
Populus rotundifolia	765816
Jaltomata biflora	879926
Jaltomata darcyana	879933
Jaltomata dendroidea	879934
Jaltomata repandidentata	879946
Jaltomata umbellata	879953
Jaltomata yungayensis	879958
Vitis romanetii	882115
Capsella orientalis	945839
Phylloscopus occisinensis	947499
Montipora dilatata	994752
Setophaga auduboni 	1037455
Setophaga coronata coronata	1037456
Setophaga coronata nigrifrons	1037458
Theragra chalcogramma	1042646
Passer italiae	1069440
Populus koreana	1085088
Thripadectes holostictus	1094535
Thripadectes scrutator	1094537
Napothera crispifrons	1149651
Corvus pectoralis	1196305
Corvus pectoralis 	1196305
Oenanthe hispanica hispanica	1207001
Vitis shenxiensis	1239142
Quercus berberidifolia	1266315
Quercus berberidifolia 	1266315
Quercus durata var. durata	1266326
Quercus durata var. gabrielensis	1266326
Quercus john-tuckeri	1266336
Quercus pacifica	1266344
Aquilegia longissima	1291443
Catostomus discobolus yarrowi	1338610
Macaca mulatta lasiota	1449913
Catostomus jordani	1476536
Catostomus virescens	1476541
Diapensia himalaica	1501234
Diapensia purpurea	1501235
"[Aegilops speltoides var. lingustica, Aegilops speltoides var. speltoides]"	NA
Populus adenopoda	1536645
Citrullus amarus	1567104
Rhinolophus sinicus sinicus 	1585245
Actinidia chinensis var. chinensis 	1590841
Populus mexicana	1593301
Actinidia fulvicoma var. hirsuta	1594464
Grallaria przewalskii	1604838
Leptopogon taczanowskii	1604839
Leptopogon rufipectus	1604843
Puma yagouaroundi	1608482
Gasterosteus nipponicus	1778380
Actinidia hypoleuca	1837144
Aquilegia barnebyi	1886611
Populus ilicifolia	1902783
Populus qiongdaoensis	1903715
Populus heterophylla	1955051
Jaltomata aijana	1972499
Jaltomata calliantha	1972500
Jaltomata grandibaccata	1972501
Jaltomata incahuasina	1972502
Jaltomata quipuscoae	1972503
Cyprinodon brontotheroides	1987526
Strauzia longitudinalis	2006637
Omocestus minutissimus	2024681
Carex lucennoiberica	2041357
Populus trinervis	2107771
Ursus eremus	2115972
Populus ningshanica	2291147
Pitohui uropygialis	2305099
Histoplasma suramericanum	2482892
Nephelomyias lintoni	2489343
Linospadix microcaryus	2559497
Linospadix apetiolatus	2559498
Anser serrirostris	2606890
Strauzia rugosum	2724148
Strauzia uvedaliae	2724149
Strauzia noctipennis	2725042
Carex waponahkikensis	2753487
Populus wulianensis	2754729
Zingiber singapurense	2772578
Zingiber puberulum	2773222
Gypsophila annamensis	2781073
Gypsophila calcicola	2781074
Neurospera crassa	"5,141"
Cyrtandra hawaiensis x grayana	NA
"Cyrtandra hawaiensis x grayana, Cyrtandra hawaiensis 2"	NA
?	NA
	NA
Quercus cornelius‐mulleri	167419
Solanum huaylense	588598
Ceratopteris guadichaudii	2614507
Gasterosteus aculeatusus	69293
Rhipidura teysmanni toradja	667195
Certhidea pallidus	NA
Certhidea heliobates	NA
Certhidea parvulus	NA
Certhidea pauper	NA
Buthraupis riefferii	NA
Histoplasma ohiense	NA
Histoplasma mississippiense	NA
Neurospera tetrasperma	NA
Cyrtandra longifolia x kauaiensis	NA
Quercus john‐tuckeri	NA
"[Ae. comosa, Ae. uniaristata, Ae. umbellulata, Ae. caudata , Ae. tauschii, Ae. longissima, Ae. sharonensis, Ae. bicornis, Ae. searsii]"	NA
Selasphorus sasin sedantarius	NA
Rhipidura teysmanni tax nov	NA
Acridotheres tertius	NA
Conus fulgetrum	NA
Montipora cf. turgescens	NA
Histoplasma Africa	NA
MTH 	NA
"Cyrtandra grayi 1, Cyrtandra grayi 2"	NA
Citrullus ecirrhosus & Citrullus rehmii	NA
Rhipidura teysmanni sulaensis	NA
Pinaroloxias crassirostris	NA
Omocestus uhagoni	NA
Heliconius timareta ssp. nov.	101932
Neurospera hispaniola	588809
Neurospera sitophila	40126
